trip_id,organization_name,is_operator
121120000308885365,Nobina Sverige AB,1
121120000308885705,Nobina Sverige AB,1
121120000308886244,Nobina Sverige AB,1
121120000308886342,Nobina Sverige AB,1
121120000308886538,Nobina Sverige AB,1
121120000308886734,Nobina Sverige AB,1
121120000308886832,Nobina Sverige AB,1
121120000308886979,Nobina Sverige AB,1
121120000308887662,Nobina Sverige AB,1
121120000308887762,Nobina Sverige AB,1
121120000308887988,Nobina Sverige AB,1
121120000308888178,Nobina Sverige AB,1
121120000308888246,Nobina Sverige AB,1
121120000308888393,Nobina Sverige AB,1
121120000308889129,Nobina Sverige AB,1
121120000308889422,Nobina Sverige AB,1
121120000308889470,Nobina Sverige AB,1
121120000308889811,Nobina Sverige AB,1
121120000308889909,Nobina Sverige AB,1
121120000308890154,Nobina Sverige AB,1
121120000308890448,Nobina Sverige AB,1
121120000308890497,Nobina Sverige AB,1
121120000308890546,Nobina Sverige AB,1
121120000308890595,Nobina Sverige AB,1
121120000308890924,Nobina Sverige AB,1
121120000308891019,Nobina Sverige AB,1
121120000308891334,Nobina Sverige AB,1
121120000308891445,Nobina Sverige AB,1
121120000308891482,Nobina Sverige AB,1
121120000308891593,Nobina Sverige AB,1
121120000308891786,Nobina Sverige AB,1
121120000308891978,Nobina Sverige AB,1
121120000308892370,Nobina Sverige AB,1
121120000308892419,Nobina Sverige AB,1
121120000308892517,Nobina Sverige AB,1
121120000308892664,Nobina Sverige AB,1
121120000308892779,Nobina Sverige AB,1
121120000308892845,Nobina Sverige AB,1
121120000308893124,Nobina Sverige AB,1
121120000308893467,Nobina Sverige AB,1
121120000308893516,Nobina Sverige AB,1
121120000308893614,Nobina Sverige AB,1
121120000308893810,Nobina Sverige AB,1
121120000308893907,Nobina Sverige AB,1
121120000308894291,Nobina Sverige AB,1
121120000308894387,Nobina Sverige AB,1
121120000308894579,Nobina Sverige AB,1
121120000308894627,Nobina Sverige AB,1
121120000308894915,Nobina Sverige AB,1
121120000308895445,Nobina Sverige AB,1
121120000308895656,Nobina Sverige AB,1
121120000308895992,Nobina Sverige AB,1
121120000308896088,Nobina Sverige AB,1
121120000308885413,Nobina Sverige AB,1
121120000308885558,Nobina Sverige AB,1
121120000308885607,Nobina Sverige AB,1
121120000308885754,Nobina Sverige AB,1
121120000308885852,Nobina Sverige AB,1
121120000308886146,Nobina Sverige AB,1
121120000308886587,Nobina Sverige AB,1
121120000308886783,Nobina Sverige AB,1
121120000308886881,Nobina Sverige AB,1
121120000308887175,Nobina Sverige AB,1
121120000308887224,Nobina Sverige AB,1
121120000308887273,Nobina Sverige AB,1
121120000308887466,Nobina Sverige AB,1
121120000308888102,Nobina Sverige AB,1
121120000308888121,Nobina Sverige AB,1
121120000308888197,Nobina Sverige AB,1
121120000308888295,Nobina Sverige AB,1
121120000308888491,Nobina Sverige AB,1
121120000308888785,Nobina Sverige AB,1
121120000308888896,Nobina Sverige AB,1
121120000308888933,Nobina Sverige AB,1
121120000308889178,Nobina Sverige AB,1
121120000308889227,Nobina Sverige AB,1
121120000308889374,Nobina Sverige AB,1
121120000308889664,Nobina Sverige AB,1
121120000308889958,Nobina Sverige AB,1
121120000308890105,Nobina Sverige AB,1
121120000308890350,Nobina Sverige AB,1
121120000308890742,Nobina Sverige AB,1
121120000308890886,Nobina Sverige AB,1
121120000308891149,Nobina Sverige AB,1
121120000308891186,Nobina Sverige AB,1
121120000308891260,Nobina Sverige AB,1
121120000308891297,Nobina Sverige AB,1
121120000308891408,Nobina Sverige AB,1
121120000308891519,Nobina Sverige AB,1
121120000308891556,Nobina Sverige AB,1
121120000308892125,Nobina Sverige AB,1
121120000308892272,Nobina Sverige AB,1
121120000308892321,Nobina Sverige AB,1
121120000308892977,Nobina Sverige AB,1
121120000308893271,Nobina Sverige AB,1
121120000308893418,Nobina Sverige AB,1
