service_id,date,exception_type
1,20220913,1
1,20220914,1
1,20220915,1
1,20220916,1
1,20220919,1
1,20220920,1
1,20220921,1
1,20220922,1
1,20220923,1
1,20220926,1
1,20220927,1
1,20220928,1
1,20220929,1
1,20220930,1
1,20221003,1
1,20221004,1
1,20221005,1
1,20221006,1
1,20221007,1
1,20221010,1
1,20221011,1
1,20221012,1
1,20221013,1
1,20221014,1
1,20221017,1
1,20221018,1
1,20221019,1
1,20221020,1
1,20221021,1
1,20221024,1
1,20221025,1
1,20221026,1
1,20221027,1
1,20221028,1
1,20221031,1
1,20221101,1
1,20221102,1
1,20221103,1
1,20221104,1
1,20221107,1
1,20221108,1
1,20221109,1
1,20221110,1
1,20221111,1
1,20221114,1
1,20221115,1
1,20221116,1
1,20221117,1
1,20221118,1
1,20221121,1
1,20221122,1
1,20221123,1
1,20221124,1
1,20221125,1
1,20221128,1
1,20221129,1
1,20221130,1
1,20221201,1
1,20221202,1
1,20221205,1
1,20221206,1
1,20221207,1
1,20221208,1
1,20221209,1
2,20220918,1
2,20220925,1
2,20221002,1
2,20221009,1
2,20221016,1
2,20221023,1
2,20221030,1
2,20221105,1
2,20221106,1
2,20221113,1
2,20221120,1
2,20221127,1
2,20221204,1
3,20221105,1
4,20220916,1
4,20220923,1
4,20220930,1
4,20221007,1
4,20221014,1
4,20221021,1
4,20221028,1
4,20221104,1
4,20221111,1
4,20221118,1
4,20221125,1
4,20221202,1
4,20221209,1
5,20220917,1
5,20220924,1
5,20221001,1
5,20221008,1
5,20221015,1
5,20221022,1
5,20221029,1
5,20221112,1
5,20221119,1
5,20221126,1
5,20221203,1
5,20221210,1
6,20220917,1
6,20220918,1
6,20220924,1
6,20220925,1
6,20221001,1
6,20221002,1
6,20221008,1
6,20221009,1
6,20221015,1
6,20221016,1
6,20221022,1
6,20221023,1
6,20221029,1
6,20221030,1
6,20221105,1
6,20221106,1
6,20221112,1
6,20221113,1
6,20221119,1
6,20221120,1
6,20221126,1
6,20221127,1
6,20221203,1
6,20221204,1
6,20221210,1
7,20220913,1
7,20220914,1
7,20220915,1
7,20220916,1
7,20220918,1
7,20220919,1
7,20220920,1
7,20220921,1
7,20220922,1
7,20220923,1
7,20220925,1
7,20220926,1
7,20220927,1
7,20220928,1
7,20220929,1
7,20220930,1
7,20221002,1
7,20221003,1
7,20221004,1
7,20221005,1
7,20221006,1
7,20221007,1
7,20221009,1
7,20221010,1
7,20221011,1
7,20221012,1
7,20221013,1
7,20221014,1
7,20221016,1
7,20221017,1
7,20221018,1
7,20221019,1
7,20221020,1
7,20221021,1
7,20221023,1
7,20221024,1
7,20221025,1
7,20221026,1
7,20221027,1
7,20221028,1
7,20221030,1
7,20221031,1
7,20221101,1
7,20221102,1
7,20221103,1
7,20221104,1
7,20221105,1
7,20221106,1
7,20221107,1
7,20221108,1
7,20221109,1
7,20221110,1
7,20221111,1
7,20221113,1
7,20221114,1
7,20221115,1
7,20221116,1
7,20221117,1
7,20221118,1
7,20221120,1
7,20221121,1
7,20221122,1
7,20221123,1
7,20221124,1
7,20221125,1
7,20221127,1
7,20221128,1
7,20221129,1
7,20221130,1
7,20221201,1
7,20221202,1
7,20221204,1
7,20221205,1
7,20221206,1
7,20221207,1
7,20221208,1
7,20221209,1
8,20220913,1
8,20220914,1
8,20220915,1
8,20220916,1
8,20220917,1
8,20220919,1
8,20220920,1
8,20220921,1
8,20220922,1
8,20220923,1
8,20220924,1
8,20220926,1
8,20220927,1
8,20220928,1
8,20220929,1
8,20220930,1
8,20221001,1
8,20221003,1
8,20221004,1
8,20221005,1
8,20221006,1
8,20221007,1
8,20221008,1
8,20221010,1
8,20221011,1
8,20221012,1
8,20221013,1
8,20221014,1
8,20221015,1
8,20221017,1
8,20221018,1
8,20221019,1
8,20221020,1
8,20221021,1
8,20221022,1
8,20221024,1
8,20221025,1
8,20221026,1
8,20221027,1
8,20221028,1
8,20221029,1
8,20221031,1
8,20221101,1
8,20221102,1
8,20221103,1
8,20221104,1
8,20221107,1
8,20221108,1
8,20221109,1
8,20221110,1
8,20221111,1
8,20221112,1
8,20221114,1
8,20221115,1
8,20221116,1
8,20221117,1
8,20221118,1
8,20221119,1
8,20221121,1
8,20221122,1
8,20221123,1
8,20221124,1
8,20221125,1
8,20221126,1
8,20221128,1
8,20221129,1
8,20221130,1
8,20221201,1
8,20221202,1
8,20221203,1
